Site        X          Y        Z        Latitude      Longitude    Height    Rec. Type    Ant.Type
      ITRF96(m)   ITRF96(m)   ITRF96(m)   WGS84(deg.)   WGS84(deg.)  WGS84(m)
A4 1X F14.2 F14.2 F14.2 F14.7 F14.7 F14.2 2X A7 2X A7
ab14    -3066908.56   -1171659.30    5450696.20    59.1084869  -159.0915090        657.01  TRIMBLE  TRM2965
ab18    -2398928.10    -751158.76    5842257.36    66.8586014  -162.6134790         36.53  TRIMBLE  TRM5980
ab22    -2899272.35   -1370589.03    5495032.69    59.8996121  -154.6982350        199.30  TRIMBLE  TRM2965
ab25    -2659626.19   -1182841.14    5657252.46    62.9296181  -156.0233900        961.03  TRIMBLE  TRM2965
ab27    -2293836.60    -978174.31    5851313.35    67.0561423  -156.9048590        507.59  TRIMBLE  TRM2965
ab28    -2663005.01   -1367722.35    5614814.85    62.0941616  -152.8149170       1582.68  TRIMBLE  TRM2965
ab37    -2394433.63   -1648611.46    5659336.07    62.9676394  -145.4518760       1136.58  TRIMBLE  TRM2965
ab39    -2089696.56   -1451693.85    5829174.13    66.5595879  -145.2126307        147.70  TRIMBLE  TRM2965
ab41    -2122881.29   -1709401.70    5747432.56    64.7775867  -141.1580380        285.68  TRIMBLE  TRM2965
ab42    -2457270.92   -2143703.85    5464033.45    59.3406987  -138.8988110        773.23  TRIMBLE  TRM2965
ab43    -2449678.53   -2313243.07    5397464.07    58.1991322  -136.6408078         26.93  TRIMBLE  TRM2965
ab44    -2302043.27   -2283770.76    5474261.83    59.5283367  -135.2282980        304.13  TRIMBLE  TRM2965
ab48    -2496255.82   -2527206.18    5279656.49    56.2453611  -134.6469960          5.26  TRIMBLE  TRM2965
acor     4594489.89    -678368.01    4357065.90    43.3647070    -8.3989354         66.92  LEICA G  LEIAT50
acso      595828.94   -4839735.32    4097876.72    40.2326862   -82.9815250        249.39  TRIMBLE  TRM2965
acu5     1560551.19   -4503286.00    4224398.14    41.7438758   -70.8869520          6.48  TRIMBLE  TRM4124
ac02    -3138667.55   -1518437.26    5323007.44    56.9508876  -154.1830440        126.85  TRIMBLE  TRM2965
ac03    -2838819.16   -1518048.82    5487672.81    59.7709203  -151.8645090         19.13  TRIMBLE  TRM2965
ac06    -2813463.63   -1566561.10    5487809.06    59.7639516  -150.8905580        631.41  TRIMBLE  TRM2965
